version,malla_M,malla_N,hilos,caso,schedule,tiempo
poisson_schedule,100,100,1,1,dynamic,3.41565
poisson_schedule,100,100,2,1,static,1.82973
poisson_schedule,100,100,2,1,dynamic,17.7553
poisson_schedule,100,100,4,1,static,1.02436
poisson_schedule,100,100,4,1,dynamic,11.3599
poisson_schedule,100,100,8,1,static,0.685856
poisson_schedule,100,100,8,1,dynamic,8.37769
poisson_schedule,100,100,16,1,static,0.829872
poisson_schedule,100,100,16,1,dynamic,6.19305
poisson_schedule,100,100,1,2,static,0.602249
poisson_schedule,100,100,1,2,dynamic,1.78256
poisson_schedule,100,100,2,2,static,0.433184
poisson_schedule,100,100,2,2,dynamic,16.027
poisson_schedule,100,100,4,2,static,0.323511
poisson_schedule,100,100,4,2,dynamic,11.0768
poisson_schedule,100,100,8,2,static,0.308852
poisson_schedule,100,100,8,2,dynamic,7.86896
poisson_schedule,100,100,16,2,static,0.62479
poisson_schedule,100,100,16,2,dynamic,5.35189
