x,y,V_teorica
0.010050251,0.47236181,0.21373198
0.010050251,0.47738693,0.21840358
0.010050251,0.48241206,0.22312568
0.010050251,0.48743719,0.22789829
0.010050251,0.49246231,0.2327214
0.010050251,0.49748744,0.23759501
0.010050251,0.50251256,0.24251913
0.010050251,0.50753769,0.24749375
0.010050251,0.51256281,0.25251888
0.010050251,0.51758794,0.25759451
0.010050251,0.52261307,0.26272064
0.010050251,0.52763819,0.26789728
0.010050251,0.53266332,0.27312442
0.010050251,0.53768844,0.27840206
0.010050251,0.54271357,0.28373021
0.010050251,0.54773869,0.28910886
0.010050251,0.55276382,0.29453802
0.010050251,0.55778894,0.30001768
0.010050251,0.56281407,0.30554784
0.010050251,0.5678392,0.31112851
0.010050251,0.57286432,0.31675968
0.010050251,0.57788945,0.32244135
0.010050251,0.58291457,0.32817353
0.010050251,0.5879397,0.33395621
0.010050251,0.59296482,0.3397894
0.010050251,0.59798995,0.34567309
0.010050251,0.60301508,0.35160728
0.010050251,0.6080402,0.35759198
0.010050251,0.61306533,0.36362718
0.010050251,0.61809045,0.36971289
0.010050251,0.62311558,0.37584909
0.010050251,0.6281407,0.38203581
0.010050251,0.63316583,0.38827302
0.010050251,0.63819095,0.39456074
0.010050251,0.64321608,0.40089897
0.010050251,0.64824121,0.40728769
0.010050251,0.65326633,0.41372693
0.010050251,0.65829146,0.42021666
0.010050251,0.66331658,0.4267569
0.010050251,0.66834171,0.43334764
0.010050251,0.67336683,0.43998889
0.010050251,0.67839196,0.44668064
0.010050251,0.68341709,0.45342289
0.010050251,0.68844221,0.46021565
0.010050251,0.69346734,0.46705891
0.010050251,0.69849246,0.47395268
0.010050251,0.70351759,0.48089695
0.010050251,0.70854271,0.48789172
0.010050251,0.71356784,0.494937
0.010050251,0.71859296,0.50203278
0.010050251,0.72361809,0.50917906
0.010050251,0.72864322,0.51637585
0.010050251,0.73366834,0.52362314
0.010050251,0.73869347,0.53092094
0.010050251,0.74371859,0.53826924
0.010050251,0.74874372,0.54566804
0.010050251,0.75376884,0.55311735
