x,y,V,Exact,Error,Boundary
1.6,0.06,0.941372,0.941413,-4.03135e-05,0
1.64,0.06,0.990691,0.99073,-3.86645e-05,0
1.68,0.06,1.03883,1.03886,-3.71115e-05,0
1.72,0.06,1.08583,1.08586,-3.56476e-05,0
1.76,0.06,1.13175,1.13179,-3.42664e-05,0
1.8,0.06,1.17665,1.17668,-3.29617e-05,0
1.84,0.06,1.22056,1.22059,-3.17276e-05,0
1.88,0.06,1.26353,1.26356,-3.05578e-05,0
1.92,0.06,1.3056,1.30563,-2.94453e-05,0
1.96,0.06,1.3468,1.34683,-2.83808e-05,0
2,0.06,5.52224,1.38719,4.13504,1
0,0.08,-20.2879,-5.05146,-15.2364,1
0.04,0.08,-4.79892,-4.82831,0.0293941,0
0.08,0.08,-4.33981,-4.35831,0.0185037,0
0.12,0.08,-3.86382,-3.8728,0.00898671,0
0.16,0.08,-3.43778,-3.44202,0.00423793,0
0.2,0.08,-3.06841,-3.07046,0.00204749,0
0.24,0.08,-2.74787,-2.74887,0.00100619,0
0.28,0.08,-2.46697,-2.46746,0.000485451,0
0.32,0.08,-2.21803,-2.21824,0.000212691,0
0.36,0.08,-1.99504,-1.9951,6.47294e-05,0
0.4,0.08,-1.79338,-1.79336,-1.72616e-05,0
0.44,0.08,-1.6095,-1.60944,-6.29207e-05,0
0.48,0.08,-1.44063,-1.44054,-8.7907e-05,0
0.52,0.08,-1.28456,-1.28446,-0.000100837,0
0.56,0.08,-1.13954,-1.13943,-0.000106619,0
0.6,0.08,-1.00414,-1.00403,-0.000108125,0
0.64,0.08,-0.877177,-0.87707,-0.00010708,0
0.68,0.08,-0.757684,-0.757579,-0.000104536,0
0.72,0.08,-0.644839,-0.644738,-0.000101142,0
0.76,0.08,-0.537952,-0.537854,-9.73033e-05,0
0.8,0.08,-0.43643,-0.436337,-9.32741e-05,0
0.84,0.08,-0.339767,-0.339677,-8.92116e-05,0
0.88,0.08,-0.247521,-0.247436,-8.52127e-05,0
0.92,0.08,-0.159312,-0.15923,-8.13349e-05,0
0.96,0.08,-0.0748012,-0.0747235,-7.76109e-05,0
1,0.08,0.00630555,0.00637961,-7.40572e-05,0
1.04,0.08,0.0842705,0.0843411,-7.06801e-05,0
1.08,0.08,0.159327,0.159394,-6.74794e-05,0
1.12,0.08,0.231682,0.231746,-6.44507e-05,0
1.16,0.08,0.301523,0.301585,-6.15877e-05,0
1.2,0.08,0.369019,0.369078,-5.88824e-05,0
1.24,0.08,0.43432,0.434376,-5.63265e-05,0
1.28,0.08,0.497565,0.497619,-5.39117e-05,0
